candidate_webname,state_postal,cd,cand_party,year,web_score,FECCandID,bioguide_id
Richonda Oaks,MO,5,Republican,2020,NA,H8MO05136,NA
Maite Salazar,MO,5,Democrat,2020,-0.676809651,H0MO05182,NA
Weldon Woodward,MO,5,Republican,2020,NA,H0MO05232,NA
Emanuel Cleaver,MO,5,Democrat,2022,NA,H4MO05234,C001061
Herschel Young,MO,5,Republican,2022,NA,NA,NA
Jacob Turk,MO,5,Republican,2022,NA,H6MO05189,NA
Jerry Barham,MO,5,Republican,2022,0.667505056,H2MO05378,NA
Maite Salazar,MO,5,Democrat,2022,-0.767129354,H0MO05182,NA
Ed Andres,MO,6,Democrat,2018,NA,H8MO06134,NA
Winston Apple,MO,6,Democrat,2018,-0.576890248,H8MO06118,NA
Sam Graves,MO,6,Republican,2018,1.070592777,H0MO06073,G000546
Henry Martin,MO,6,Democrat,2018,-0.51248606,H8MO06092,NA
Ramona Farris,MO,6,Democrat,2020,NA,H0MO06198,NA
Sam Graves,MO,6,Republican,2020,1.020754721,H0MO06073,G000546
Henry Martin,MO,6,Democrat,2020,-0.511492856,H8MO06092,NA
Gena Ross,MO,6,Democrat,2020,-1.236326619,H0MO06222,NA
Chris Ryan,MO,6,Republican,2020,NA,H0MO06164,NA
Donald Robert Sartain,MO,6,Democrat,2020,NA,H0MO06024,NA
Charles West,MO,6,Democrat,2020,-1.064474994,H0MO06206,NA
Brandon Kleinmeyer,MO,6,Republican,2022,0.732646849,NA,NA
Charles West,MO,6,Democrat,2022,-1.028103293,H0MO06206,NA
Chris Ryan,MO,6,Republican,2022,NA,NA,NA
Dakota Shultz,MO,6,Republican,2022,0.627989812,H2MO06236,NA
Henry Martin,MO,6,Democrat,2022,-0.651165085,H8MO06092,NA
John Dady,MO,6,Republican,2022,0.647148735,NA,NA
Michael Howard,MO,6,Democrat,2022,NA,NA,NA
Sam Graves,MO,6,Republican,2022,0.998232173,H0MO06073,G000546
Jim Evans,MO,7,Republican,2018,-0.391080194,H8MO07173,NA
John Farmer de la Torre,MO,7,Democrat,2018,NA,H8MO07199,NA
Kenneth Hatfield,MO,7,Democrat,2018,NA,H8MO07231,NA
Benjamin Holcomb,MO,7,Republican,2018,NA,NA,NA
Vince Jennings,MO,7,Democrat,2018,NA,H8MO07181,NA
Billy Long,MO,7,Republican,2018,1.002668483,H0MO07113,L000576
Lance Norris,MO,7,Republican,2018,NA,NA,NA
Jamie Schoolcraft,MO,7,Democrat,2018,-0.240334526,H8MO07223,NA
Steve Chentnik,MO,7,Republican,2020,0.618263349,H0MO07253,NA
Eric Harleman,MO,7,Republican,2020,NA,H0MO07220,NA
Camille Lombard-Olive,MO,7,Republican,2020,NA,H6MO07235,NA
Billy Long,MO,7,Republican,2020,1.02731748,H0MO07113,L000576
Teresa Montseny,MO,7,Democrat,2020,-0.725806554,H0MO07246,NA
Kevin VanStory,MO,7,Republican,2020,NA,H0MO07261,NA
Alex Bryant,MO,7,Republican,2022,0.365949574,H2MO07184,NA
Audrey Richards,MO,7,Republican,2022,-0.437497031,H0MO07279,NA
Bryce Lockwood,MO,7,Democrat,2022,NA,NA,NA
Camille Lombard-Olive,MO,7,Republican,2022,NA,NA,NA
Eric Burlison,MO,7,Republican,2022,0.82309441,H2MO07143,B001316
Jay Wasson,MO,7,Republican,2022,NA,H2MO07168,NA
John Woodman,MO,7,Democrat,2022,-0.49592671,H2MO07192,NA
Kristen Radaker Sheafer,MO,7,Democrat,2022,-0.569443948,H2MO07200,NA
Mike Moon,MO,7,Republican,2022,0.783704737,H2MO07135,NA
Paul Walker,MO,7,Republican,2022,NA,H2MO07150,NA
Sam Alexander,MO,7,Republican,2022,0.942858244,H2MO07127,NA
Kathy Ellis,MO,8,Democrat,2018,-0.669975375,H8MO08098,NA
Jason Smith,MO,8,Republican,2018,1.293915898,H4MO08162,S001195
Kathy Ellis,MO,8,Democrat,2020,-0.737158738,H8MO08098,NA
Jason Smith,MO,8,Republican,2020,1.172630546,H4MO08162,S001195
Jacob Turner,MO,8,Republican,2022,0.605559776,NA,NA
Jason Smith,MO,8,Republican,2022,1.180733786,H4MO08162,S001195
Randi McCallian,MO,8,Democrat,2022,-0.574871861,H2MO08091,NA
Trent Kelly,MS,1,Republican,2018,0.810778116,H6MS01131,K000388
Randy Wadkins,MS,1,Democrat,2018,-0.651083939,H8MS01145,NA
Antonia Eliason,MS,1,Democrat,2020,NA,H0MS01118,NA
Trent Kelly,MS,1,Republican,2020,0.913274979,H6MS01131,K000388
Dianne Black,MS,1,Democrat,2022,NA,H2MS01148,NA
Hunter Avery,MS,1,Democrat,2022,NA,H2MS01130,NA
Mark Strauss,MS,1,Republican,2022,NA,NA,NA
Trent Kelly,MS,1,Republican,2022,0.656158853,H6MS01131,K000388
Bennie Thompson,MS,2,Democrat,2018,0.22046183,H4MS02068,T000193
Thomas Carey,MS,2,Republican,2020,NA,H0MS02116,NA
Brian Flowers,MS,2,Republican,2020,NA,H0MS02082,NA
B.C. Hammond,MS,2,Republican,2020,0.595110604,H0MS02090,NA
Sonia Rathburn,MS,2,Democrat,2020,NA,H0MS02108,NA
Bennie Thompson,MS,2,Democrat,2020,-0.233754736,H4MS02068,T000193
Bennie Thompson,MS,2,Democrat,2022,-0.119702834,H4MS02068,T000193
Brian Flowers,MS,2,Republican,2022,1.019528332,H0MS02082,NA
Jerry Kerner,MS,2,Democrat,2022,NA,H2MS02161,NA
Michael Carson,MS,2,Republican,2022,NA,NA,NA
Ron Eller,MS,2,Republican,2022,0.62953863,NA,NA
Stanford Johnson,MS,2,Republican,2022,NA,NA,NA
Kevin Aycox,MS,3,Democrat,2018,-0.467709741,H8MS03174,NA
Sally Doty,MS,3,Republican,2018,0.916239958,H8MS03133,NA
Morgan Dunn,MS,3,Republican,2018,NA,H8MS03158,NA
Michael Evans,MS,3,Democrat,2018,NA,H8MS03216,NA
Michael Guest,MS,3,Republican,2018,NA,H8MS03125,G000591
Whit Hughes,MS,3,Republican,2018,0.82168113,H8MS03141,NA
Perry Parker,MS,3,Republican,2018,1.64461543,H8MS03182,NA
Bitzl Tate,MS,3,Republican,2018,0.804718068,NA,NA
Dorothy Benford,MS,3,Democrat,2020,NA,H8MS02044,NA
Michael Guest,MS,3,Republican,2020,NA,H8MS03125,G000591
Katelyn Lee,MS,3,Democrat,2020,NA,H0MS03114,NA
James Tulp,MS,3,Republican,2020,1.641373158,H0MS03072,NA
Michael Cassidy,MS,3,Republican,2022,0.412924609,H2MS03151,NA
Michael Guest,MS,3,Republican,2022,NA,H8MS03125,G000591
Shuwaski Young,MS,3,Democrat,2022,-1.316014471,H2MS03136,NA
Thomas Brian Griffin,MS,3,Republican,2022,0.842420315,NA,NA
Jeramey Anderson,MS,4,Democrat,2018,-0.271155661,H8MS04438,NA
Steven Palazzo,MS,4,Republican,2018,1.130873142,H0MS04120,P000601
Brian Rose,MS,4,Republican,2018,1.061102287,H8MS04453,NA
Carl Boyanton,MS,4,Republican,2020,0.331711251,H0MS04161,NA
Robert L. Deming III,MS,4,Republican,2020,1.289659537,H0MS04187,NA
Samuel Hickman,MS,4,Republican,2020,0.885461499,H0MS04153,NA
Steven Palazzo,MS,4,Republican,2020,1.329636194,H0MS04120,P000601
Brice Wiggins,MS,4,Republican,2022,0.831673942,H2MS04308,NA
Carl Boyanton,MS,4,Republican,2022,0.472866048,H0MS04161,NA
Clay Wagner,MS,4,Republican,2022,1.036404268,H2MS04274,NA
David Sellers,MS,4,Democrat,2022,-0.42924414,H2MS04282,NA
Johnny DuPree,MS,4,Democrat,2022,NA,H2MS04332,NA
Kidron Peterson,MS,4,Republican,2022,0.62567913,H2MS04324,NA
Mike Ezell,MS,4,Republican,2022,1.403807373,H2MS04258,E000235
Raymond Brooks,MS,4,Republican,2022,1.695441431,H2MS04266,NA
Steven Palazzo,MS,4,Republican,2022,1.050701413,H0MS04120,NA
Greg Gianforte,MT,1,Republican,2018,1.499496537,H8MT01182,G000584
John Heenan,MT,1,Democrat,2018,-0.348234248,H8MT00101,NA
Grant Kier,MT,1,Democrat,2018,-0.711741509,H8MT00119,NA
John Meyer,MT,1,Democrat,2018,-0.627293256,NA,NA
Lynda Moss,MT,1,Democrat,2018,NA,H8MT01224,NA
Jared Pettinato,MT,1,Democrat,2018,NA,H8MT01240,NA
Kathleen Williams,MT,1,Democrat,2018,-0.611095004,H8MT01232,NA
Joe Dooling,MT,1,Republican,2020,0.651187389,H0MT00108,NA
John David Evankovich,MT,1,Republican,2020,NA,H0MT01106,NA
Debra Lamm,MT,1,Republican,2020,1.155035123,H0MT01098,NA
Mark J. McGinley,MT,1,Republican,2020,0.783498228,H0MT01114,NA
Matt Rosendale,MT,1,Republican,2020,0.879775532,H4MT00050,R000103
Corey Stapleton,MT,1,Republican,2020,1.017251705,H4MT01033,NA
Kathleen Williams,MT,1,Democrat,2020,-0.542376576,H8MT01232,NA
Tom Winter,MT,1,Democrat,2020,-0.931911541,H0MT00090,NA
"Al ""Doc"" Olszewski",MT,1,Republican,2022,1.038770262,H2MT02084,NA
Cora Neumann,MT,1,Democrat,2022,NA,H2MT02100,NA
Mary Todd,MT,1,Republican,2022,0.783484568,H2MT00112,NA
Matt Jette,MT,1,Republican,2022,0.110487384,H2MT01110,NA
Mitch Heuer,MT,1,Republican,2022,0.256025277,H2MT01136,NA
Monica Tranel,MT,1,Democrat,2022,-1.036609131,H2MT02092,NA
Ryan K Zinke,MT,1,Republican,2022,0.347124149,H4MT01041,Z000018
Tom Winter,MT,1,Democrat,2022,-1.081149762,H0MT00090,NA
Charles A. Walkingchild,MT,2,Republican,2022,NA,NA,NA
James Boyette,MT,2,Republican,2022,0.08416915,H2MT02142,NA
Kyle Austin,MT,2,Republican,2022,NA,H2MT02175,NA
Mark Sweeney,MT,2,Democrat,2022,NA,H2MT02159,NA
Matt Rosendale,MT,2,Republican,2022,0.925518366,H4MT00050,R000103
Penny Ronning,MT,2,Democrat,2022,-0.572503841,H2MT02134,NA
Skylar Williams,MT,2,Democrat,2022,-0.396661816,H2MT02118,NA
Roger Allison,NC,1,Republican,2018,0.480002627,H8NC01104,NA
George K. Butterfield,NC,1,Democrat,2018,-0.435874358,H4NC01046,B001251
Ethan Baca,NC,1,Republican,2020,0.809773604,H0NC01101,NA
George K. Butterfield,NC,1,Democrat,2020,-0.516970869,H4NC01046,B001251
Jim Glisson,NC,1,Republican,2020,NA,H0NC01127,NA
Michele Nix,NC,1,Republican,2020,1.566916189,H0NC03131,NA
Sandy Smith,NC,1,Republican,2020,1.818923986,H0NC03149,NA
Billy Strickland,NC,1,Republican,2022,0.917028488,H2NC02261,NA
Brad Murphy,NC,1,Republican,2022,-0.458837091,H2NC02295,NA
Brent Roberson,NC,1,Republican,2022,1.207593005,H2NC02311,NA
Don Davis,NC,1,Democrat,2022,NA,H2NC02287,D000230
Erica Smith,NC,1,Democrat,2022,NA,H2NC02238,NA
Ernest Reeves,NC,1,Republican,2022,-0.038227943,H6NC03161,NA
Henry Williams,NC,1,Republican,2022,NA,H2NC01263,NA
Jason Spriggs,NC,1,Democrat,2022,-0.388623841,H2NC01222,NA
Julian Bishop,NC,1,Democrat,2022,NA,H2NC01248,NA
Sandy Roberson,NC,1,Republican,2022,0.842113664,H2NC02253,NA
Sandy Smith,NC,1,Republican,2022,1.518857183,H0NC03149,NA
Will Aiken,NC,1,Republican,2022,0.948965373,H2NC01255,NA
Seth Blankenship,NC,10,Republican,2018,1.516414301,H8NC10105,NA
David Wilson Brown,NC,10,Democrat,2018,-0.855930003,H8NC10097,NA
Gina Collias,NC,10,Republican,2018,-0.278335019,H8NC10113,NA
Jeff Gregory,NC,10,Republican,2018,NA,NA,NA
Patrick McHenry,NC,10,Republican,2018,0.732104608,H4NC10047,M001156
Ira Roberts,NC,10,Republican,2018,0.939460896,H8NC10071,NA
Albert Lee Wiley Jr.,NC,10,Republican,2018,NA,NA,NA
David L. Johnson,NC,10,Republican,2020,0.605213239,H0NC10201,NA
Patrick McHenry,NC,10,Republican,2020,0.418711791,H4NC10047,M001156
David Parker,NC,10,Democrat,2020,NA,H0NC10193,NA
Ralf Walters,NC,10,Republican,2020,NA,H0NC10219,NA
Gary Robinson,NC,10,Republican,2022,NA,H2NC10124,NA
Jeff Gregory,NC,10,Republican,2022,NA,H0NC10177,NA
Michael Felder,NC,10,Democrat,2022,NA,NA,NA
Michael Magnotta,NC,10,Republican,2022,NA,NA,NA
Pam Genant,NC,10,Democrat,2022,-0.954561391,H2NC13235,NA
Patrick McHenry,NC,10,Republican,2022,0.359130593,H4NC10047,M001156
Richard Speer,NC,10,Republican,2022,0.992842222,H2NC02188,NA
Chuck Archerd,NC,11,Republican,2018,NA,H8NC11145,NA
D. Scott Donaldson,NC,11,Democrat,2018,-0.428798136,H8NC11160,NA
Mark Meadows,NC,11,Republican,2018,1.388783947,H2NC11080,M001187
Phillip G. Price,NC,11,Democrat,2018,-0.962679527,H8NC11103,NA
Steve Woodsmall,NC,11,Democrat,2018,-0.814803188,H8NC11129,NA
Chuck Archerd,NC,11,Republican,2020,1.693287231,H0NC11209,NA
Lynda Bennett,NC,11,Republican,2020,0.955743397,H0NC11191,NA
Matthew Burril,NC,11,Republican,2020,NA,H0NC11217,NA
Madison Cawthorn,NC,11,Republican,2020,1.925897113,H0NC11233,C001104
Gina Collias,NC,11,Democrat,2020,-0.387956392,H8NC10113,NA
James Davis,NC,11,Republican,2020,NA,H0NC11183,NA
Morris Davis,NC,11,Democrat,2020,-0.680723977,H0NC11175,NA
Dan Driscoll,NC,11,Republican,2020,1.351274028,H0NC11258,NA
Steven Fekete Jr.,NC,11,Republican,2020,NA,H0NC11266,NA
Dillon Gentry,NC,11,Republican,2020,-0.561543001,H8NC05097,NA
Wayne King,NC,11,Republican,2020,NA,H0NC11225,NA
Michael O'Shea,NC,11,Democrat,2020,-1.066860617,H0NC11159,NA
Joseph Osborne,NC,11,Republican,2020,1.315185072,H0NC11241,NA
Vance Patterson,NC,11,Republican,2020,0.391016913,H0NC10169,NA
Phillip G. Price,NC,11,Democrat,2020,-0.809737012,H8NC11103,NA
Albert Lee Wiley Jr.,NC,11,Republican,2020,NA,H0NC01036,NA
Steve Woodsmall,NC,11,Democrat,2020,-0.844424635,H8NC11129,NA
Bo Hess,NC,11,Democrat,2022,-0.56926725,H2NC11197,NA
Bruce O'Connell,NC,11,Republican,2022,NA,H2NC11221,NA
Bynum Lunsford,NC,11,Democrat,2022,NA,NA,NA
Chuck Edwards,NC,11,Republican,2022,1.300945143,H2NC14050,E000246
Jasmine Beach-Ferrara,NC,11,Democrat,2022,-0.946847559,H2NC11155,NA
Jay Carey,NC,11,Democrat,2022,-0.843553263,H2NC11189,NA
Katie Dean,NC,11,Democrat,2022,-0.363810667,H2NC11171,NA
Kristie Sluder,NC,11,Republican,2022,0.55301723,H2NC11296,NA
Madison Cawthorn,NC,11,Republican,2022,1.174019708,H0NC11233,NA
Marco Gutierrez,NC,11,Democrat,2022,NA,NA,NA
Matthew Burril,NC,11,Republican,2022,1.054743634,H0NC11217,NA
Michele Woodhouse,NC,11,Republican,2022,1.463060318,H2NC14035,NA
Rod Honeycutt,NC,11,Republican,2022,1.336405947,H2NC11247,NA
Wendy Marie-Limbaugh Nevare,NC,11,Republican,2022,-0.061758045,H2NC11163,NA
Alma Adams,NC,12,Democrat,2018,-0.771547542,H4NC12100,A000370
Paul Bonham,NC,12,Republican,2018,0.745259922,H8NC12101,NA
Gabe Ortiz,NC,12,Democrat,2018,NA,NA,NA
Carl Persson,NC,12,Republican,2018,NA,H8NC12127,NA
Patrick Register,NC,12,Democrat,2018,-0.65699634,H8NC12135,NA
Paul Wright,NC,12,Republican,2018,0.438208047,H6NC12089,NA
Keith Young,NC,12,Democrat,2018,NA,NA,NA
Alma Adams,NC,12,Democrat,2020,-0.863641388,H4NC12100,A000370
Keith E. Cradle,NC,12,Democrat,2020,NA,H0NC12140,NA
Alma Adams,NC,12,Democrat,2022,-1.056895389,H4NC12100,A000370
Andrew Huffman,NC,12,Republican,2022,NA,H2NC12260,NA
John Sharkey,NC,12,Democrat,2022,-0.285744095,H2NC12245,NA
Nalini Joseph,NC,12,Republican,2022,0.629240563,NA,NA
Tyler Lee,NC,12,Republican,2022,1.016012625,H2NC12229,NA
Ted Budd,NC,13,Republican,2018,1.189883335,H6NC13129,B001305
Adam Coker,NC,13,Democrat,2018,NA,H6NC02130,NA
Kathy Manning,NC,13,Democrat,2018,-0.583155885,H8NC13067,NA
Ted Budd,NC,13,Republican,2020,0.881825833,H6NC13129,B001305
Scott Huffman,NC,13,Democrat,2020,NA,H8NC08109,NA
Bo Hines,NC,13,Republican,2022,1.049189763,H2NC05157,NA
Chad Slotta,NC,13,Republican,2022,0.860767981,H2NC07187,NA
Denton Lee,NC,13,Democrat,2022,-0.062270124,H2NC07138,NA
DeVan Barbour,NC,13,Republican,2022,1.260511234,H2NC04168,NA
Jamie Campbell Bowles,NC,13,Democrat,2022,NA,H2NC13276,NA
Jessica Morel,NC,13,Republican,2022,NA,H2NC13268,NA
Kelly Kathleen Daughtry,NC,13,Republican,2022,0.858852446,H2NC04200,NA
Keny Keirsey,NC,13,Republican,2022,1.477917084,H2NC13193,NA
Kevin Alan Wolff,NC,13,Republican,2022,0.586656817,H2NC13284,NA
Nathan Click,NC,13,Democrat,2022,-1.099598529,H2NC14027,NA
Renee Ellmers,NC,13,Republican,2022,0.997943037,H0NC02059,NA
Sam Searcy,NC,13,Democrat,2022,-1.137548135,H8NC02086,NA
Wiley Nickel,NC,13,Democrat,2022,-1.346741909,H2NC14019,N000194
Jeff Jackson,NC,14,Democrat,2022,NA,H2NC14076,J000308
Jonathan Simpson,NC,14,Republican,2022,0.189953407,H2NC14084,NA
Pat Harrigan,NC,14,Republican,2022,1.445984347,H2NC13243,NA
Ram Mammadov,NC,14,Democrat,2022,-1.100047958,H2NC09175,NA
Allen Chesser,NC,2,Republican,2018,1.108110145,H8NC02102,NA
Linda Coleman,NC,2,Democrat,2018,-1.081360779,H8NC02110,NA
George Holding,NC,2,Republican,2018,1.039178703,H2NC13110,H001065
Wendy Ella May,NC,2,Democrat,2018,-0.631403632,H8NC02078,NA
Ken Romley,NC,2,Democrat,2018,-1.264054691,H8NC02094,NA
Monika Johnson-Hostler,NC,2,Democrat,2020,-1.615738416,H0NC02117,NA
Ollie Oneal Nelson,NC,2,Democrat,2020,NA,H0NC02166,NA
Deborah Ross,NC,2,Democrat,2020,NA,H0NC02125,R000305
Alan Swain,NC,2,Republican,2020,0.781888554,H0NC02158,NA
Andrew Terrell,NC,2,Democrat,2020,-1.318002469,H0NC02133,NA
Adina Safta,NC,2,Republican,2022,0.928350805,H2NC02220,NA
Christine Villaverde,NC,2,Republican,2022,1.20238733,H2NC08235,NA
Deborah Ross,NC,2,Democrat,2022,-1.265060665,H0NC02125,R000305
Mahesh Ganorkar,NC,2,Republican,2022,0.637272253,H2NC06106,NA
Scott Dacey,NC,3,Republican,2018,1.184202313,H8NC03076,NA
Walter Jones,NC,3,Republican,2018,1.29491847,H2NC01081,J000255
Phil Law,NC,3,Republican,2018,0.761150349,H8NC03068,NA
Daryl Farrow,NC,3,Democrat,2020,NA,H0NC03123,NA
Greg Murphy,NC,3,Republican,2020,1.458867848,H0NC03172,M001210
Barbara Gaskins,NC,3,Democrat,2022,-0.983316911,H2NC03095,NA
Brian Friend,NC,3,Republican,2022,-0.142896257,H2NC03129,NA
Eric Earhart,NC,3,Republican,2022,NA,H2NC03160,NA
George Papastrat,NC,3,Republican,2022,0.415717273,H2NC03137,NA
Greg Murphy,NC,3,Republican,2022,0.986738718,H0NC03172,M001210
Joe Swartz,NC,3,Democrat,2022,-0.608372779,H2NC01230,NA
Tony Cowden,NC,3,Republican,2022,1.147756618,H2NC04192,NA
Michelle Laws,NC,4,Democrat,2018,-1.225180113,NA,NA
David E. Price,NC,4,Democrat,2018,-0.426912116,H6NC04037,P000523
Steve Von Loor,NC,4,Republican,2018,0.631044054,H8NC04090,NA
Richard Watkins,NC,4,Democrat,2018,-0.932352716,H8NC04108,NA
Daniel Ulysses Lockwood,NC,4,Democrat,2020,-1.294948016,H0NC04170,NA
Steve Von Loor,NC,4,Republican,2020,0.570830722,H8NC04090,NA
David E. Price,NC,4,Democrat,2020,-0.756269509,H6NC04037,P000523
Debesh Sarkar,NC,4,Republican,2020,0.940155799,H0NC04204,NA
Nasir Shaikh,NC,4,Republican,2020,0.707820062,H0NC04212,NA
Robert Thomas,NC,4,Republican,2020,NA,H0NC04220,NA
Ashley Ward,NC,4,Democrat,2022,-1.326871153,H2NC04135,NA
Clay Aiken,NC,4,Democrat,2022,-1.026166098,H4NC02127,NA
Courtney Geels,NC,4,Republican,2022,0.594626696,H2NC13185,NA
Crystal Cavalier,NC,4,Democrat,2022,-0.671897016,H2NC07195,NA
Matt Grooms,NC,4,Democrat,2022,NA,H2NC04143,NA
Nida Allam,NC,4,Democrat,2022,-1.189404445,H2NC06098,NA
Richard Watkins,NC,4,Democrat,2022,-1.412447788,H2NC06122,NA
Robert Thomas,NC,4,Republican,2022,0.407221193,H0NC04220,NA
Stephen Valentine,NC,4,Democrat,2022,-0.46065209,H2NC06130,NA
Valerie Foushee,NC,4,Democrat,2022,-1.186279197,H2NC06114,F000477
DD Adams,NC,5,Democrat,2018,-0.693881207,H8NC05063,NA
Virginia Foxx,NC,5,Republican,2018,1.042735285,H4NC05146,F000450
Dillon Gentry,NC,5,Republican,2018,NA,NA,NA
Jenny Marshall,NC,5,Democrat,2018,-1.059599471,H8NC05055,NA
Cortland Meader Jr,NC,5,Republican,2018,-0.087328762,NA,NA
David Wilson Brown,NC,5,Democrat,2020,-0.866869412,H8NC10097,NA
Virginia Foxx,NC,5,Republican,2020,1.103374101,H4NC05146,F000450
Eric Nathan Hughes,NC,5,Democrat,2020,NA,H0NC05177,NA
Kyle Parrish,NC,5,Democrat,2022,NA,H2NC07203,NA
Michael Ackerman,NC,5,Republican,2022,NA,H2NC05165,NA
Virginia Foxx,NC,5,Republican,2022,0.97526809,H4NC05146,F000450
Mark Walker,NC,6,Republican,2018,1.136717415,H4NC06052,W000819
Ryan Watts,NC,6,Democrat,2018,-0.531646401,H8NC06079,NA
Gerald Wong,NC,6,Democrat,2018,-0.589023078,H8NC06095,NA
Bruce Davis,NC,6,Democrat,2020,-0.38395274,H4NC06136,NA
Rhonda Foxx,NC,6,Democrat,2020,-1.237320488,H0NC06225,NA
Ed Hanes Jr.,NC,6,Democrat,2020,NA,H0NC06258,NA
Lee Haywood,NC,6,Republican,2020,0.981795038,H0NC06241,NA
Kathy Manning,NC,6,Democrat,2020,NA,H8NC13067,M001135
Derwin L. Montgomery,NC,6,Democrat,2020,-0.794434616,H0NC06233,NA
Laura Pichardo,NC,6,Republican,2020,0.572929524,H0NC06266,NA
Christian Castelli,NC,6,Republican,2022,1.656138794,H2NC07161,NA
Gerry Austin,NC,6,Republican,2022,1.558904608,H2NC06080,NA
Kathy Manning,NC,6,Democrat,2022,-1.203154186,H8NC13067,M001135
Laura Pichardo,NC,6,Republican,2022,-0.223142489,H0NC06266,NA
Lee Haywood,NC,6,Republican,2022,1.18213751,H0NC06241,NA
Marvin Boguslawski,NC,6,Republican,2022,1.238968032,H2NC07179,NA
Mary Ann Contogiannis,NC,6,Republican,2022,1.209088723,H2NC06155,NA
William Schuch,NC,6,Republican,2022,NA,NA,NA
Kyle Horton,NC,7,Democrat,2018,-0.93823808,H8NC07101,NA
Grayson Parker,NC,7,Democrat,2018,-0.332831803,H8NC07127,NA
David Rouzer,NC,7,Republican,2018,1.126675662,H2NC07096,R000603
Robert Colon,NC,7,Democrat,2020,-0.84130743,H0NC07132,NA
Mark Judson,NC,7,Democrat,2020,0.07147755,H0NC04188,NA
David Rouzer,NC,7,Republican,2020,1.179458018,H2NC07096,R000603
Christopher M. Ward,NC,7,Democrat,2020,-0.05704514,H0NC07140,NA
Charles Evans,NC,7,Democrat,2022,-0.814876098,H2NC08227,NA
Charles Graham,NC,7,Democrat,2022,-0.337280711,H2NC09183,NA
David Rouzer,NC,7,Republican,2022,1.238457029,H2NC07096,R000603
Max Southwoth-Beckwith,NC,7,Republican,2022,0.818696709,NA,NA
Steve Miller,NC,7,Democrat,2022,-1.169826144,H2NC07104,NA
Yushonda Midgette,NC,7,Democrat,2022,NA,H2NC03111,NA
Richard Hudson,NC,8,Republican,2018,NA,H2NC08185,H001067
Scott Huffman,NC,8,Democrat,2018,-0.312726109,H8NC08109,NA
Frank McNeil,NC,8,Democrat,2018,-0.531227056,H8NC08083,NA
Marc Tiegel,NC,8,Democrat,2018,NA,H8NC08117,NA
Richard Hudson,NC,8,Republican,2020,0.775742731,H2NC08185,H001067
Patricia Timmons-Goodson,NC,8,Democrat,2020,NA,H0NC08254,NA
Dan Bishop,NC,8,Republican,2022,0.73293479,H0NC09187,B001311
Scott Huffman,NC,8,Democrat,2022,-1.351968889,H8NC08109,NA
Christian Cano,NC,9,Democrat,2018,-0.238494935,H6NC09184,NA
Clarence Goins Jr,NC,9,Republican,2018,1.131641838,NA,B001311
Mark Harris,NC,9,Republican,2018,1.267984807,H6NC09200,NA
Dan McCready,NC,9,Democrat,2018,-0.361765095,H8NC09123,NA
Robert Pittenger,NC,9,Republican,2018,1.224058044,H2NC09134,NA
Dan Bishop,NC,9,Republican,2020,1.106976559,H0NC09187,B001311
Clayton W. Brooks III,NC,9,Democrat,2020,-0.162718194,H0NC09278,NA
Harry Southerland,NC,9,Democrat,2020,-1.001187235,H0NC09294,NA
Cynthia Wallace,NC,9,Democrat,2020,NA,H0NC09286,NA
Marcus W. Williams,NC,9,Democrat,2020,NA,H2NC08201,NA
Ben Clark,NC,9,Democrat,2022,-0.003843994,H2NC09225,NA
Francisco Rios,NC,9,Republican,2022,1.166780978,H2NC12211,NA
Jen Bucardo,NC,9,Republican,2022,0.393042565,H0NC06209,NA
Mike Andriani,NC,9,Republican,2022,0.316457565,H2NC09217,NA
Richard Hudson,NC,9,Republican,2022,NA,H2NC08185,H001067
Tiffany Abentroth,ND,1,Republican,2018,0.128476503,H8ND00120,NA
Kelly Armstrong,ND,1,Republican,2018,1.00926012,H8ND00096,A000377
Tom Campbell,ND,1,Republican,2018,1.887993861,H8ND00104,NA
Paul Schaffner,ND,1,Republican,2018,0.952031968,H0ND00127,NA
Marc Schneider,ND,1,Democrat,2018,NA,H8ND00112,NA
Kelly Armstrong,ND,1,Republican,2020,1.107474808,H8ND00096,A000377
Zachary Raknerud,ND,1,Democrat,2020,-0.956838118,H0ND01042,NA
Roland Riemers,ND,1,Democrat,2020,NA,H0ND00150,NA
Kelly Armstrong,ND,1,Republican,2022,1.033493889,H8ND00096,A000377
Mark Haugen,ND,1,Democrat,2022,-0.434272609,H2ND01014,NA
Dennis Crawford,NE,1,Democrat,2018,-0.855709363,H4NE01163,NA
Jeffrey Fortenberry,NE,1,Republican,2018,0.620093242,H4NE01064,F000449
Jessica McClure,NE,1,Democrat,2018,-0.604118108,H8NE01081,NA
Kate Bolz,NE,1,Democrat,2020,-0.44266116,H0NE01120,NA
Jeffrey Fortenberry,NE,1,Republican,2020,0.033384319,H4NE01064,F000449
Babs Ramsey,NE,1,Democrat,2020,-0.898068598,H0NE01112,NA
Curtis Huffman,NE,1,Republican,2022,NA,NA,NA
Jazari Zakaria,NE,1,Democrat,2022,-0.708316116,H2NE01100,NA
Jeffrey Fortenberry,NE,1,Republican,2022,NA,H4NE01064,NA
John Weaver,NE,1,Republican,2022,0.850837099,H2NE01159,NA
Mike Flood,NE,1,Republican,2022,1.113709539,H2NE01118,F000474
Patty Brooks,NE,1,Democrat,2022,-1.344203223,H2NE01092,NA
Thireena Connely,NE,1,Republican,2022,NA,NA,NA
